Customer Reference ID,Country,Signup Date,Reward Plan,Marketing Source Name,URL,Expiry Date,Customer Type,Total Net Revenue,Total Net Revenue MTD,Details
129922,Germany,15/06/2017,5% RevShare,CasDE,abc.com,0,Generic,29.00,0,List Activity
131979,Germany,28/06/2017,5% RevShare,CasDE,abc.com,0,Generic,349.00,0,List Activity
132952,Germany,06/07/2017,5% RevShare,CasDE,abc.com,0,Generic,11.00,0,List Activity
137545,Austria,28/08/2017,5% RevShare,CasAT,abc.com,0,Generic,118.00,0,List Activity
141746,Germany,08/10/2017,5% RevShare,CasDE,abc.com,0,Generic,69.00,0,List Activity
144166,Germany,03/11/2017,5% RevShare,CasDE,abc.com,0,Generic,35.00,0,List Activity
144169,Germany,04/11/2017,5% RevShare,CasDE,abc.com,0,Generic,9.00,0,List Activity
326671,Germany,01/03/2018,5% RevShare,CasDE,abc.com,0,Generic,34.00,0,List Activity
326674,Germany,01/03/2018,5% RevShare,CasDE,abc.com,0,Generic,11.00,0,List Activity
326688,Germany,02/03/2018,5% RevShare,CasDE,abc.com,0,Generic,152.00,0,List Activity
326782,Germany,05/03/2018,5% RevShare,CasDE,abc.com,0,Generic,6.00,0,List Activity
326883,Germany,07/03/2018,5% RevShare,CasDE,abc.com,0,Generic,139.00,0,List Activity
326909,Germany,08/03/2018,5% RevShare,CasDE,abc.com,0,Generic,488.00,0,List Activity
326911,Germany,08/03/2018,5% RevShare,CasDE,abc.com,0,Generic,11.00,0,List Activity
326917,Germany,09/03/2018,5% RevShare,CasDE,abc.com,0,Generic,22.00,0,List Activity
326953,Germany,09/03/2018,5% RevShare,CasDE,abc.com,0,Generic,139.00,0,List Activity
326996,Germany,10/03/2018,5% RevShare,CasDE,abc.com,0,Generic,1440.00,0,List Activity
327003,Germany,11/03/2018,5% RevShare,CasDE,abc.com,0,Generic,23.00,0,List Activity
327004,Germany,11/03/2018,5% RevShare,CasDE,abc.com,0,Generic,11.00,0,List Activity
327031,Germany,12/03/2018,5% RevShare,CasDE,abc.com,0,Generic,156.00,0,List Activity
327117,Germany,14/03/2018,5% RevShare,CasDE,abc.com,0,Generic,23.00,0,List Activity
327133,Germany,14/03/2018,5% RevShare,CasDE,abc.com,0,Generic,-1239.00,0,List Activity
327136,Germany,14/03/2018,5% RevShare,CasDE,abc.com,0,Generic,361.00,0,List Activity
327165,Germany,15/03/2018,5% RevShare,CasDE,abc.com,0,Generic,69.00,0,List Activity
