Customer Reference ID,Deposits,Other First Deposits,Total First Deposits,Total First Deposit Count
137545,44.00,0,10.00,1
144169,5.00,0,5.00,1
145140,122.00,0,29.00,1
146225,15.00,0,15.00,1
326671,6.00,0,6.00,1
327133,3018.00,0,175.00,1
327165,45.00,0,45.00,1
327328,234.00,0,15.00,1
327705,0.00,0,0.00,N/A
327763,0.00,0,0.00,N/A
327846,0.00,0,0.00,N/A
327912,59.00,0,15.00,1
328023,0.00,0,0.00,N/A
328134,249.00,0,173.00,1
328527,849.00,0,117.00,1
328548,0.00,0,0.00,N/A
328730,1813.00,0,556.00,1
328823,1784.00,0,1784.00,1
328833,278.00,0,59.00,1
328851,810.00,0,263.00,1
328887,29.00,0,29.00,1
328949,109.00,0,109.00,1
329001,146.00,0,146.00,1
329003,29.00,0,15.00,1
329015,293.00,0,293.00,1
329043,813.00,0,131.00,1
329065,15.00,0,15.00,1
329184,15.00,0,15.00,1
329198,293.00,0,293.00,1
329303,207.00,0,207.00,1
329307,295.00,0,118.00,1
329393,15.00,0,15.00,1
329465,30.00,0,30.00,1
329469,295.00,0,295.00,1
329479,44.00,0,44.00,1
329546,89.00,0,30.00,1
329656,1216.00,0,1216.00,1
329679,505.00,0,148.00,1
329705,59.00,0,59.00,1
329747,101.00,0,101.00,1
329752,535.00,0,535.00,1
Totals:,14462.00,0,7109.00,36
,,,,
